Kode,Saham Beredar
BISI,3000000000
AALI,1574745000
UNSP,3787875000
LSIP,1364572793
SGRO,1890000000
SMAR,2872193366
TBLA,4162942493
CPDW,34198115
MBAI,75000000
BASS,1756533500
CPRO,18346072084
DSFI,1857135500
IIKP,3360000000
BTEK,1102977500
ATPK,820900000
BUMI,19404000000
ITMG,1129925000
PKPK,600000000
PTBA,2304131850
APEX,2633665000
ENRG,14400813372
MEDC,3332451450
ANTM,9538459750
CITA,1123578300
INCO,993633872
TINS,503302000
CNKO,4246550572
CTTH,1230839821
SMCB,7662900000
INTP,3681231699
SMGR,5931520000
ARNA,917678872
AMFG,434000000
IKAI,654000000
KIAS,425000000
MLIA,1323000000
TOTO,49536000
ALMI,308000000
BTON,180000000
CTBN,80000000
INAI,158400000
ITMA,34000000
JKSW,150000000
JPRS,750000000
LION,52016000
LMSH,9600000
PICO,568375000
TBMS,18367000
BUDI,3694500000
CLPI,306338500
DPNS,331129952
EKAD,559020000
ETWA,968297000
SRSN,6020000000
INCI,181035556
KKGI,250000000
SOBI,900000000
UNIC,383331363
AKKU,230000000
AKPI,680000000
APLI,1300000000
BRNA,69000000
DYNA,314705440
FPNI,410200000
IGAR,1050000000
LAPD,264398200
SIMA,92500000
TALFA,1350000000
TALFB,3435000
TRST,2808000000
CPIN,3284561408
JPFA,1489414660
MAIN,339000000
SIPD,9391108493
BRPT,2617459794
DSUC,500000000
SULI,1228465988
SUDI,3166666667
TIRT,1011774750
FASW,2477888787
INKP,5470982941
SPMA,1492046658
SAIP,3450607595
TKIM,1335702240
INRU,1356615897
ASII,4048355314
AUTO,771157280
GJTL,3168000000
GDYR,41000000
BRAM,450000000
IMAS,996502680
INDS,37500000
LPIN,21250000
MASA,6118875000
NIPS,20000000
PRAS,588000000
SQMI,301200000
SMSM,1439668860
MYTX,1466666577
ARGO,335557450
CNTX,3500000
CNTB,6500000
DOID,3395205930
ERTX,98236000
ESTI,2015208720
MYRX,5214405164
MYRXP,1120995000
INDR,654351707
KARW,587152700
PBRX,445440000
PAFI,1611067000
HDTX,1532571000
ADMG,3889179559
POLY,47538158750
RICY,641717510
RDTX,268800000
SSTM,836707000
TFCO,1201950000
TEJA,360000000
UNTX,8068500
BIMA,86000000
BATA,13000000
SIMM,1000000000
KBLI,4007235107
