Index,Listed Stocks,Industry,Sub-Industry,Assets,Liabilities,Equity,Operating Profit,BV,DER,Year
BISI,,,,1663,687,941,574.00,314.00,0.73,2008
AALI,,,,6520,1183,5156,3377.00,3274.00,0.23,2008
UNSP,,,,4700,2229,2470,760.00,652.00,0.90,2008
GZCO,,,,1429,517,882,98.00,176.00,0.59,2008
LSIP,,,,4921,1724,3197,1314.00,2343.00,0.54,2008
SGRO,,,,2156,578,1553,611.00,822.00,0.37,2008
SMAR,,,,10026,5406,4615,2141.00,1607.00,1.17,2008
TBLA,,,,2802,1909,889,368.00,213.00,2.15,2008
CPDW,,,,29,17,12,-1.00,351.00,1.39,2008
MBAI,,,,812,572,240,147.00,3194.00,2.39,2008
CPRO,,,,9371,6018,3343,593.00,149.00,1.80,2008
DSFI,,,,245,129,116,-44.00,62.00,1.12,2008
IIKP,,,,419,2,417,21.00,124.00,0.00,2008
BTEK,,,,86,0,86,-9.00,78.00,0.00,2008
ADRO,,,,33720,19693,14009,4212.00,438.00,1.41,2008
ATPK,,,,194,34,165,-26.00,198.00,0.21,2008
BYAN,,,,6747,4734,1992,201.00,598.00,2.38,2008
BUMI,,,,58253,34795,17267,12129.00,890.00,2.02,2008
ITMG,,,,10721,4037,6684,3723.00,5915.00,0.60,2008
PKPK,,,,506,310,197,70.00,328.00,1.58,2008
PTRO,,,,1952,1178,774,119.00,7541.00,1.52,2008
KKGI,,,,225,101,124,38.00,495.00,0.82,2008
PTBA,,,,6107,2029,3998,2494.00,1735.00,0.51,2008
APEX,,,,5141,2329,2811,883.00,1057.00,0.83,2008
ELSA,,,,3318,1686,1614,180.00,221.00,1.04,2008
ENRG,,,,12627,8880,3711,583.00,258.00,2.39,2008
MEDC,,,,21683,13522,8028,3792.00,2409.00,1.68,2008
RUIS,,,,619,417,202,60.00,262.00,2.07,2008
ANTM,,,,10245,2131,8063,1454.00,845.00,0.26,2008
CITA,,,,723,309,340,289.00,302.00,0.91,2008
INCO,,,,20176,3523,16654,5237.00,1676.00,0.21,2008
TINS,,,,5785,1964,3821,2070.00,759.00,0.51,2008
CNKO,,,,773,120,653,14.00,154.00,0.18,2008
CTTH,,,,203,158,46,15.00,37.00,3.46,2008
MITI,,,,128,108,20,14.00,8.00,5.50,2008
SMCB,,,,7675,5137,2538,986.00,331.00,2.02,2008
INTP,,,,11287,2765,8500,2460.00,2309.00,0.33,2008
SMGR,,,,10603,2429,8070,3387.00,1360.00,0.30,2008
ARNA,,,,736,448,283,115.00,309.00,1.58,2008
AMFG,,,,1993,496,1497,346.00,3450.00,0.33,2008
IKAI,,,,784,438,343,30.30,524.00,1.28,2008
KIAS,,,,831,709,122,40.00,14.00,5.80,2008
MLIA,,,,3733,8695,-4962,134.00,-3751.00,-1.75,2008
TOTO,,,,1031,668,363,206.00,7332.00,1.84,2008
ALMI,,,,1637,1201,436,115.00,1415.00,2.76,2008
BTON,,,,71,15,55,25.00,307.00,0.28,2008
CTBN,,,,2089,1066,1009,327.00,12617.00,1.06,2008
INAI,,,,622,546,77,44.00,484.00,7.12,2008
ITMA,,,,23,17,6,-3.00,173.00,2.84,2008
JKSW,,,,300,719,-419,-6.00,-2790.00,-1.72,2008
JPRS,,,,399,130,270,98.00,360.00,0.48,2008
LION,,,,253,52,201,51.00,3868.00,0.26,2008
LMSH,,,,62,24,38,16.00,3948.00,0.64,2008
PICO,,,,589,438,151,49.00,265.00,2.90,2008
TBMS,,,,1173,1098,75,75.00,4094.00,14.61,2008
BUDI,,,,1699,1051,619,135.00,165.00,1.70,2008
DPNS,,,,143,34,101,-16.00,304.00,0.34,2008
EKAD,,,,141,61,59,9.00,106.00,1.03,2008
ETWA,,,,418,168,249,6.00,257.00,0.68,2008
SRSN,,,,393,200,193,69.00,32.00,1.04,2008
INCI,,,,175,16,160,-4.00,881.00,0.10,2008
SOBI,,,,1111,517,544,289.00,603.00,0.95,2008
TPIA,,,,2375,963,1412,63.00,1938.00,0.68,2008
UNIC,,,,3107,1723,1341,231.00,3498.00,1.29,2008
AKKU,,,,43,16,26,-8.00,115.00,0.62,2008
AKPI,,,,1644,859,732,148.00,1077.00,1.17,2008
APLI,,,,276,151,125,23.00,97.00,1.20,2008
BRNA,,,,433,231,181,40.00,1314.00,1.27,2008
DYNA,,,,1235,718,401,84.00,1275.00,1.79,2008
IGAR,,,,306,73,192,15.00,182.00,0.38,2008
LAPD,,,,1332,645,420,45.00,106.00,1.54,2008
SIAP,,,,142,53,71,14.00,118.00,0.75,2008
SIMA,,,,66,36,30,-10.00,327.00,1.19,2008
FPNI,,,,3520,2100,1420,-116.00,255.00,1.48,2008
TRST,,,,2159,1121,1037,145.00,369.00,1.08,2008
TALFA,,,,253,54,199,25.00,147.00,0.27,2008
TALFB,,,,253,54,199,25.00,57868.00,0.27,2008
YPAS,,,,181,62,118,31.00,177.00,0.52,2008
CPIN,,,,5179,3844,1320,960.00,402.00,2.91,2008
JPFA,,,,5385,4172,1043,612.00,700.00,4.00,2008
MAIN,,,,860,815,46,79.00,136.00,17.66,2008
SIPD,,,,1385,351,1033,74.00,110.00,0.34,2008
BRPT,,,,17244,8309,6825,-1842.00,978.00,1.22,2008
DSUC,,,,237,376,-139,-39.00,-278.00,-2.70,2008
SULI,,,,2170,1796,325,-28.00,263.00,5.53,2008
TIRT,,,,567,436,131,2.00,129.00,3.33,2008
FASW,,,,3719,2411,1308,389.00,528.00,1.84,2008
INKP,,,,65349,41800,23546,3230.00,4304.00,1.78,2008
KBRI,,,,1125,631,492,-34.00,127.00,1.28,2008
SPMA,,,,1565,903,662,98.00,444.00,1.36,2008
SAIP,,,,2523,3670,-1147,-111.00,-332.00,-3.20,2008
TKIM,,,,24784,17991,6793,941.00,5086.00,2.65,2008
INRU,,,,3416,1979,1437,41.00,1047.00,1.38,2008
SQMI,,,,26,11,16,-2.00,52.00,0.68,2008
ASII,,,,80740,40163,33080,11876.00,8171.00,1.21,2008
AUTO,,,,3981,1191,2653,452.00,3440.00,0.45,2008
GJTL,,,,8714,7064,1649,581.00,473.00,4.28,2008
GDYR,,,,1022,726,297,43.00,7237.00,2.45,2008
BRAM,,,,1673,480,998,138.00,2218.00,0.48,2008
IMAS,,,,5579,5098,287,256.00,288.00,17.78,2008
INDS,,,,918,809,109,176.00,2898.00,7.45,2008
LPIN,,,,183,100,83,5.00,3887.00,1.21,2008
MASA,,,,2379,1094,1285,176.00,210.00,0.85,2008
NIPS,,,,325,202,123,32.00,6166.00,1.64,2008
PRAS,,,,555,441,115,15.00,195.00,3.84,2008
SMSM,,,,930,342,546,213.00,379.00,0.63,2008
MYTX,,,,2176,2071,10,-201.00,7.00,216.26,2008
ARGO,,,,1724,1612,112,-124.00,335.00,14.33,2008
CNTX,,,,424,422,1,-18.00,375.00,322.27,2008
CNTB,,,,424,422,1,-18.00,202.00,322.27,2008
DOID,,,,420,66,347,6.00,51.00,0.19,2008
ERTX,,,,169,304,-135,-29.00,-1371.00,-2.26,2008
ESTI,,,,530,281,249,9.00,124.00,1.13,2008
MYRX,,,,2,162,-160,-4.00,-31.00,-1.01,2008
MYRXP,,,,2,162,-160,-4.00,-143.00,-1.01,2008
INDR,,,,6676,4006,2670,89.00,4081.00,1.50,2008
KARW,,,,152,234,-82,-17.00,-139.00,-2.86,2008
UNIT,,,,288,54,126,8.00,1670.00,0.43,2008
PBRX,,,,953,854,98,59.00,221.00,8.69,2008
PAFI,,,,582,606,-24,-84.00,-15.00,-25.25,2008
HDTX,,,,1253,706,547,-4.70,357.00,1.29,2008
ADMG,,,,3856,2844,1011,56.00,260.00,2.81,2008
POLY,,,,4913,14141,-9228,-518.00,-3883.00,-1.53,2008
RICY,,,,646,322,321,28.00,500.00,1.00,2008
RDTX,,,,581,150,431,81.00,1604.00,0.35,2008
SSTM,,,,901,619,282,-25.00,241.00,2.19,2008
TFCO,,,,2181,2788,-607,-260.00,-346.00,-4.59,2008
UNTX,,,,153,322,-169,-12.00,-20940.00,-1.91,2008
BIMA,,,,107,322,-214,10.00,-2493.00,-1.50,2008
BATA,,,,402,129,273,56.00,21009.00,0.47,2008
SIMM,,,,81,99,-19,-27.00,-19.00,-5.17,2008
KBLI,,,,607,399,208,70.00,52.00,1.92,2008
JECC,,,,673,586,87,55.00,577.00,6.72,2008
KBLM,,,,459,234,222,8.00,198.00,1.06,2008
SCCO,,,,1127,767,356,65.00,1732.00,2.15,2008
IKBI,,,,636,129,507,149.00,1657.00,0.25,2008
VOKS,,,,1165,850,315,141.00,379.00,2.70,2008
PTSN,,,,965,449,516,-3.00,291.00,0.87,2008
ARTI,,,,1482,761,721,50.00,460.00,1.05,2008
ADES,,,,185,133,52,-39.00,88.00,2.56,2008
AQUA,,,,1003,412,582,96.00,44185.00,0.71,2008
CEKA,,,,605,358,247,88.00,830.00,1.45,2008
DAVO,,,,3671,2997,674,113.00,54.00,4.45,2008
DLTA,,,,698,174,520,100.00,32459.00,0.34,2008
INDF,,,,39594,26435,8499,4341.00,968.00,3.11,2008
MYOR,,,,2923,1647,1245,345.00,1624.00,1.32,2008
MLBI,,,,941,597,344,286.00,16335.00,1.73,2008
PSDN,,,,287,152,93,63.00,65.00,1.63,2008
SKBM,,,,190,217,-51,8.00,-42.00,-4.29,2008
SKLT,,,,201,100,101,7.00,146.00,1.00,2008
STTP,,,,627,263,363,29.00,277.00,0.72,2008
AISA,,,,1017,626,391,113.00,234.00,1.60,2008
ULTJ,,,,1741,604,1135,-67.00,393.00,0.53,2008
BATI,,,,528,278,250,-76.00,3781.00,1.11,2008
RMBA,,,,4456,2725,1730,410.00,257.00,1.58,2008
GGRM,,,,24073,8554,15519,3166.00,8066.00,0.55,2008
HMSP,,,,16134,8084,8048,6225.00,1836.00,1.00,2008
SQBB,,,,295,80,215,134.00,23149.00,0.37,2008
SQBI,,,,295,80,215,134.00,220726.00,0.37,2008
DVLA,,,,638,130,508,78.00,907.00,0.26,2008
INAF,,,,966,669,297,63.00,96.00,2.26,2008
KLBF,,,,5704,1359,3622,1143.00,357.00,0.38,2008
KAEF,,,,1446,498,948,107.00,171.00,0.53,2008
MERK,,,,375,48,327,140.00,14613.00,0.15,2008
PYFA,,,,99,29,69,6.00,129.00,0.42,2008
SCPI,,,,200,191,8,30.00,2319.00,22.90,2008
TSPC,,,,2967,656,2236,363.00,497.00,0.29,2008
TCID,,,,911,95,816,175.00,4059.00,0.12,2008
MRAT,,,,355,51,304,25.00,709.00,0.17,2008
PROD,,,,272,47,225,36.00,150194.00,0.21,2008
UNVR,,,,6505,3398,3100,3431.00,406.00,1.10,2008
KICI,,,,86,20,66,6.00,478.00,0.31,2008
KDSI,,,,486,258,228,36.00,563.00,1.13,2008
LMPI,,,,560,167,393,19.00,390.00,0.43,2008
ASRI,,,,3057,1294,1755,55.00,102.00,0.74,2008
ELTY,,,,8335,3134,4508,226.00,226.00,0.70,2008
BAPA,,,,127,69,58,9.00,89.00,1.19,2008
BIPP,,,,217,97,120,4.00,73.00,0.81,2008
BMSR,,,,543,23,521,-1.00,449.00,0.04,2008
BKDP,,,,926,285,640,10.00,106.00,0.45,2008
BSDE,,,,4381,2306,2075,412.00,190.00,1.11,2008
CTRA,,,,8108,1508,3998,291.00,610.00,0.38,2008
CTRP,,,,3625,262,3238,99.00,526.00,0.08,2008
CTRS,,,,2159,619,1401,180.00,708.00,0.44,2008
CKRA,,,,1288,52,1226,-7.00,242.00,0.04,2008
COWL,,,,207,89,119,11.00,158.00,0.74,2008
SCBD,,,,4079,2425,1287,63.00,387.00,1.88,2008
DART,,,,2775,2136,639,139.00,223.00,3.35,2008
DUTI,,,,4514,1838,2266,102.00,1225.00,0.81,2008
FMII,,,,307,124,139,6.00,87.00,0.89,2008
KPIG,,,,2019,348,1671,-17.70,474.00,0.21,2008
GMTD,,,,287,194,93,11.00,914.00,2.09,2008
OMRE,,,,772,547,217,20.00,125.00,2.51,2008
DILD,,,,2111,967,1128,42.00,363.00,0.86,2008
JAKA,,,,173,28,144,0.90,278.00,0.20,2008
JRPT,,,,2211,923,1234,215.00,449.00,0.75,2008
JIHD,,,,5487,3717,1176,47.00,609.00,3.16,2008
KIJA,,,,2961,1365,1590,107.00,115.00,0.86,2008
LCGP,,,,185,19,165,1.00,117.00,0.12,2008
LAMI,,,,639,456,174,15.00,152.00,2.62,2008
LPCK,,,,1401,929,473,70.00,679.00,1.96,2008
LPKR,,,,11788,6928,4500,465.00,260.00,1.54,2008
MDLN,,,,1846,805,1041,34.00,341.00,0.77,2008
PTRA,,,,543,346,197,-2.00,34.00,1.75,2008
PWON,,,,3563,2472,1004,162.00,100.00,2.46,2008
PWSI,,,,277,599,-323,-2.10,-3912.00,-1.86,2008
GPRA,,,,1409,867,530,60.00,165.00,1.64,2008
RBMS,,,,118,11,107,0.94,328.00,0.10,2008
RODA,,,,1595,265,1299,-10.00,96.00,0.20,2008
BKSL,,,,2543,344,2199,-20.00,231.00,0.16,2008
SMRA,,,,3630,2054,1569,221.00,244.00,1.31,2008
SIIP,,,,1791,997,786,82.00,187.00,1.27,2008
SMDM,,,,2032,515,1022,6.00,255.00,0.50,2008
ADHI,,,,5125,4525,584,368.00,324.00,7.75,2008
DGIK,,,,1378,513,865,119.00,156.00,0.59,2008
JKON,,,,1369,781,581,173.00,198.00,1.35,2008
SSIA,,,,2251,1491,737,121.00,626.00,2.02,2008
TOTL,,,,1338,892,445,59.00,162.00,2.00,2008
WIKA,,,,5771,4304,1385,288.00,237.00,3.11,2008
PGAS,,,,25551,17509,7075,4657.00,295.00,2.47,2008
CMNP,,,,2791,1319,1415,257.00,708.00,0.93,2008
JSMR,,,,14643,7759,6572,1372.00,966.00,1.18,2008
META,,,,1561,1158,359,52.00,35.00,3.22,2008
BTEL,,,,8546,3464,5082,379.00,178.00,0.68,2008
EXCL,,,,28912,24604,4308,1753.00,608.00,5.71,2008
ISAT,,,,51693,33995,17410,4733.00,3204.00,1.95,2008
IATG,,,,391,147,243,9.00,270.00,0.61,2008
FREN,,,,4798,4071,727,-403.00,36.00,5.60,2008
TLKM,,,,91256,47258,34314,22307.00,1702.00,1.38,2008
APOL,,,,7294,5656,1608,695.00,536.00,3.52,2008
BLTA,,,,24976,19079,5897,1892.00,1285.00,3.24,2008
CMPP,,,,90,46,36,-7.90,674.00,1.25,2008
HITS,,,,2968,1322,1606,100.00,345.00,0.82,2008
IATA,,,,604,414,190,-22.00,88.20,2.19,2008
JASS,,,,270,125,145,118.00,327.00,0.86,2008
MIRA,,,,12553,11314,1069,274.00,270.00,10.58,2008
WEHA,,,,132,63,68,9.00,158.00,0.93,2008
TMAS,,,,1292,797,494,231.00,433.00,1.61,2008
RIGS,,,,1155,465,690,36.00,1133.00,0.67,2008
RAJA,,,,71,1,69,0.60,102.00,0.02,2008
SMDR,,,,5928,3069,2095,407.00,12793.00,1.46,2008
SAFE,,,,131,179,-48,2.00,-124.00,-3.70,2008
TRAM,,,,1378,368,1015,66.00,116.00,0.36,2008
ZBRA,,,,77,31,45,-11.00,69.00,0.70,2008
BUKK,,,,835,1836,-1001,92.00,-7118.00,-1.83,2008
DEWA,,,,5886,2842,3042,287.00,195.00,0.93,2008
INDY,,,,8710,3497,5214,123.00,1001.00,0.67,2008
TRUB,,,,7235,5418,1709,176.00,110.00,3.17,2008
AGRO,,,,2582,2347,236,1.00,100.00,9.95,2008
INPC,,,,12845,11926,919,32.00,156.00,12.97,2008
BBKP,,,,32633,30465,2163,553.00,379.00,14.08,2008
BNBA,,,,2044,1651,393,41.00,170.00,4.20,2008
BABP,,,,6288,5783,505,24.00,101.00,11.45,2008
BACA,,,,1704,1511,193,18.00,128.00,7.83,2008
BBCA,,,,245570,222291,23279,7668.00,944.00,9.55,2008
BCIC,,,,5586,7121,-1535,-6950.00,-54.00,-4.64,2008
BNGA,,,,103198,93836,9302,1324.00,389.00,10.09,2008
BDMN,,,,107268,96159,10579,2671.00,2097.00,9.09,2008
BAEK,,,,18211,16583,1628,381.00,610.00,10.18,2008
BEKS,,,,1492,1404,88,-34.00,108.00,15.92,2008
SDRA,,,,1977,1777,201,55.00,134.00,8.86,2008
BNII,,,,56855,51752,4965,412.00,99.00,10.42,2008
BKSW,,,,2162,2027,135,-6.00,270.00,14.97,2008
BMRI,,,,358439,327897,30514,7910.00,1460.00,10.75,2008
MAYA,,,,5513,4562,950,60.00,369.00,4.80,2008
MEGA,,,,34861,31991,2870,673.00,1766.00,11.15,2008
BBNI,,,,201741,186279,15431,1875.00,1010.00,12.07,2008
NISP,,,,34246,30615,3631,452.00,624.00,8.43,2008
BBNP,,,,3695,3355,340,41.00,1074.00,9.87,2008
PNBN,,,,64392,55665,7935,1122.00,391.00,7.02,2008
BNLI,,,,54060,49706,4289,621.00,554.00,11.59,2008
BBRI,,,,246077,223720,22357,8346.00,1813.00,10.01,2008
BSWD,,,,1360,1077,283,30.00,326.00,3.81,2008
BTPN,,,,13697,12080,1617,593.00,1713.00,7.47,2008
BVIC,,,,5625,5097,528,44.00,151.00,9.66,2008
MCOR,,,,2095,1833,262,10.00,96.00,7.00,2008
ADMF,,,,3592,1642,1950,1419.00,1950.00,0.84,2008
BFIN,,,,3531,2173,1357,330.00,1785.00,1.60,2008
BBLD,,,,1750,883,867,75.00,606.00,1.02,2008
CFIN,,,,1607,433,1175,158.00,451.00,0.37,2008
DEFI,,,,43,1,42,-3.00,616.00,0.02,2008
DKFT,,,,21,13,8,-8.00,74.00,1.64,2008
INCF,,,,43,32,11,-1.00,225.00,3.00,2008
MFIN,,,,2212,1815,396,146.00,299.00,4.58,2008
TRUS,,,,202,97,105,17.00,264.00,0.92,2008
VRNA,,,,596,477,119,18.00,118.00,4.02,2008
WOMF,,,,3433,3157,276,38.00,138.00,11.45,2008
AKSI,,,,86,17,69,0.00,96.00,0.24,2008
HADE,,,,602,466,137,-157.00,64.00,3.41,2008
OCAP,,,,37,7,29,-12.00,108.00,0.25,2008
KREN,,,,378,261,116,9.00,199.00,2.24,2008
PEGE,,,,194,102,92,14.00,155.00,1.12,2008
PANS,,,,934,629,304,132.00,422.00,2.07,2008
RELI,,,,329,194,134,18.00,149.00,1.45,2008
TRIM,,,,968,586,382,96.00,104.00,1.54,2008
YULE,,,,56,7,49,-3.00,192.00,0.15,2008
ABDA,,,,421,302,119,16.00,431.00,2.55,2008
ASBI,,,,200,120,80,12.00,460.00,1.50,2008
ASDM,,,,258,155,103,5.00,536.00,1.50,2008
AHAP,,,,80,34,46,2.50,93.00,0.73,2008
ASJT,,,,160,69,91,3.00,302.00,0.77,2008
AMAG,,,,437,215,222,30.00,182.00,0.97,2008
ASRM,,,,315,202,113,23.00,1414.00,1.79,2008
LPGI,,,,725,133,592,11.00,3946.00,0.22,2008
MREI,,,,259,144,115,28.00,364.00,1.25,2008
PNIN,,,,6809,1849,2791,526.00,686.00,0.66,2008
PNLF,,,,5921,1592,4325,450.00,180.00,0.37,2008
ARTA,,,,180,52,128,3.00,286.00,0.41,2008
BCAP,,,,1406,1033,373,81.00,298.00,2.77,2008
MTFN,,,,220,201,18,1.00,24.00,11.45,2008
GSMF,,,,1445,953,430,24.00,82.00,2.22,2008
LPPS,,,,464,165,299,-4.00,135.00,0.55,2008
LPPF,,,,59,16,44,6.00,33.00,0.36,2008
APIC,,,,160,31,97,-0.50,690.00,0.32,2008
SMMA,,,,15536,12770,2653,335.00,458.00,4.81,2008
TMPI,,,,1538,445,1079,-18.00,196.00,0.41,2008
AIMS,,,,81,61,20,0.30,183.00,3.04,2008
AKRA,,,,4875,2918,1608,620.00,515.00,1.81,2008
ASIA,,,,63,21,43,15.00,19.00,0.49,2008
CLPI,,,,259,168,90,36.00,295.00,1.86,2008
KARK,,,,520,164,355,6.00,211.00,0.46,2008
EPMT,,,,2513,1176,1337,363.00,586.00,0.88,2008
FISH,,,,413,293,120,94.00,251.00,2.43,2008
HEXA,,,,1839,1226,613,403.00,729.00,2.00,2008
INTD,,,,38,74,-36,0.50,-1201.00,-2.04,2008
INTA,,,,1137,809,329,89.00,761.00,2.46,2008
LTLS,,,,3495,2541,799,521.00,1025.00,3.18,2008
SDPC,,,,309,229,80,21.00,110.00,2.87,2008
MDRN,,,,791,473,317,46.00,496.00,1.49,2008
MICE,,,,269,36,209,43.00,348.00,0.17,2008
KONI,,,,54,37,17,1.00,219.00,2.22,2008
SING,,,,5,0,5,-1.00,616.00,0.01,2008
SUGI,,,,44,5,40,2.00,98.00,0.12,2008
OKAS,,,,643,335,134,189.00,132.00,2.50,2008
TGKA,,,,1526,1136,379,122.00,412.00,3.00,2008
TIRA,,,,229,149,76,22.00,1299.00,1.94,2008
TRIL,,,,289,50,239,17.00,199.00,0.21,2008
TURI,,,,3583,2559,1025,261.00,735.00,2.50,2008
UNTR,,,,22848,11645,11132,4159.00,3346.00,1.05,2008
WAPO,,,,207,125,82,10.00,158.00,1.52,2008
WICO,,,,228,163,65,-12.00,51.00,2.52,2008
ACES,,,,790,113,677,164.00,395.00,0.17,2008
ALFA,,,,604,215,388,-52.00,830.00,0.55,2008
CSAP,,,,1227,753,437,109.00,151.00,1.72,2008
MACO,,,,151,148,3,-30.00,5.00,48.32,2008
HERO,,,,2128,1373,755,181.00,2292.00,1.82,2008
KOIN,,,,432,319,113,12.00,133.00,2.83,2008
MPPA,,,,9741,6578,3108,497.00,660.00,2.12,2008
MTSM,,,,96,20,76,0.00,1299.00,0.26,2008
MAPI,,,,3761,2633,1128,303.00,679.00,2.34,2008
RALS,,,,3004,677,2327,417.00,329.00,0.29,2008
RIMO,,,,71,56,15,1.00,44.00,3.73,2008
SONA,,,,592,431,161,64.00,485.00,2.68,2008
AMRT,,,,2307,1701,606,176.00,0.00,2.81,2008
TRIO,,,,1300,884,415,155.00,0.00,2.13,2008
TKGA,,,,97,93,4,7.00,74.00,23.94,2008
ANTA,,,,325,217,108,16.00,189.00,2.02,2008
BAYU,,,,213,122,91,6.00,258.00,1.34,2008
PDES,,,,173,66,104,9.00,145.00,0.64,2008
SMMT,,,,20,31,-11,-0.50,-135.00,-2.89,2008
FAST,,,,785,302,483,141.00,1081.00,0.63,2008
GMCW,,,,18,13,5,1.00,77.00,2.92,2008
HOME,,,,195,87,108,1.00,89.00,0.80,2008
SHID,,,,663,379,284,-12.00,254.00,1.33,2008
INPP,,,,117,3,114,-0.30,71.00,0.03,2008
ICON,,,,14,10,4,-1.00,15.00,2.64,2008
JSPT,,,,2688,1430,978,153.00,422.00,1.46,2008
MAMI,,,,607,29,578,4.00,330.00,0.05,2008
MAMIP,,,,607,29,578,4.00,96324.00,0.05,2008
PANR,,,,532,309,155,19.00,129.00,2.00,2008
PSAB,,,,14,8,6,0.20,195.00,1.33,2008
PGLI,,,,44,8,36,2.00,74.00,0.22,2008
PJAA,,,,1331,447,883,196.00,552.00,0.51,2008
PTSP,,,,82,74,5,14.00,22.00,15.28,2008
PLIN,,,,4070,2612,1393,288.00,392.00,1.87,2008
PNSE,,,,255,151,83,72.00,642.00,1.81,2008
PUDP,,,,244,36,205,5.60,734.00,0.17,2008
PSKT,,,,28,6,20,-1.00,246.00,0.29,2008
ABBA,,,,226,65,152,12.00,107.00,0.43,2008
KBLV,,,,1408,1162,245,-9.00,296.00,4.74,2008
FORU,,,,193,100,92,11.00,199.00,1.08,2008
IDKM,,,,1212,930,282,169.00,139.00,3.30,2008
JTPE,,,,115,49,65,14.00,184.00,0.76,2008
MNCN,,,,8015,3077,4266,645.00,310.00,0.72,2008
SCMA,,,,2322,966,1356,459.00,713.00,0.71,2008
TMPO,,,,135,65,70,6.00,96.00,0.92,2008
ASGR,,,,841,508,333,106.00,247.00,1.53,2008
CENT,,,,94,17,71,2.00,123.00,0.25,2008
DNET,,,,21,9,12,1.00,64.00,0.76,2008
INDX,,,,9,13,-4,-2.00,-30.00,-3.45,2008
ITTG,,,,27,30,-3,-4.00,-9.00,-8.90,2008
LMAS,,,,197,136,44,12.00,55.00,3.12,2008
MTDL,,,,1289,869,317,255.00,155.00,2.74,2008
MYOH,,,,8,6,1,-1.00,1.00,4.13,2008
ALKA,,,,159,129,30,10.00,296.00,4.28,2008
BNBR,,,,25418,13916,7483,1251.00,80.00,1.86,2008
BHIT,,,,17765,7325,4845,638.00,670.00,1.51,2008
BMTR,,,,13720,4466,7038,573.00,512.00,0.63,2008
MLPL,,,,11402,8266,1505,530.00,222.00,5.49,2008
POOL,,,,124,10,114,8.00,2286.00,0.09,2008
PLAS,,,,191,22,153,-1.00,130.00,0.14,2008
GEMA,,,,313,260,53,26.00,164.00,4.95,2008
LPLI,,,,1085,66,983,-28.00,2184.00,0.07,2008
BISI,,,,1412,347,1017,175.00,339.00,0.34,2009
AALI,,,,7571,1145,6226,2610.00,3954.00,0.18,2009
UNSP,,,,5072,2401,2670,470.00,705.00,0.90,2009
BWPT,,,,1623,717,905,259.00,224.00,0.79,2009
GZCO,,,,1993,864,1070,121.00,214.00,0.81,2009
LSIP,,,,4852,1039,3813,1019.00,2795.00,0.27,2009
SGRO,,,,2262,475,1766,460.00,934.00,0.27,2009
SMAR,,,,10211,5411,4796,1110.00,1670.00,1.13,2009
TBLA,,,,2786,1788,994,281.00,238.00,1.80,2009
CPDW,,,,29,27,1,-10.00,42.00,18.95,2009
MBAI,,,,944,507,436,247.00,5817.00,1.16,2009
CPRO,,,,8702,5482,3211,-189.80,79.00,1.71,2009
DSFI,,,,139,122,16,-90.00,9.00,7.48,2009
IIKP,,,,413,5,408,-10.00,121.00,0.01,2009
BTEK,,,,80,1,79,-6.00,72.00,0.01,2009
ADRO,,,,42465,24953,17445,9928.00,545.00,1.43,2009
ATPK,,,,172,43,129,-25.00,155.00,0.34,2009
BYAN,,,,7181,4707,2415,365.00,725.00,1.95,2009
BUMI,,,,69907,54846,13876,6021.00,715.00,3.95,2009
DEWA,,,,4360,1768,2582,45.00,165.00,0.68,2009
GTBO,,,,445,192,253,-8.00,101.00,0.76,2009
ITMG,,,,11306,3878,7428,4111.00,6574.00,0.52,2009
PKPK,,,,486,298,188,46.00,313.00,1.59,2009
PTRO,,,,1835,1080,755,373.00,7483.00,1.43,2009
KKGI,,,,273,122,151,45.00,603.00,0.81,2009
PTBA,,,,8079,2293,5701,3548.00,2474.00,0.40,2009
BIPI,,,,1979,63,1868,-1.00,0.00,0.03,2009
ELSA,,,,4210,2286,1910,276.00,262.00,1.20,2009
ENRG,,,,10252,8478,1741,27.00,121.00,4.87,2009
MEDC,,,,19248,12384,6686,681.00,2006.00,1.85,2009
RUIS,,,,563,352,211,55.00,274.00,1.67,2009
ARTI,,,,1176,747,429,67.00,273.00,1.74,2009
ANTM,,,,9940,1748,8149,588.00,854.00,0.21,2009
CITA,,,,745,272,381,25.00,339.00,0.71,2009
INCO,,,,19224,4308,14916,2187.00,1501.00,0.29,2009
TINS,,,,4856,1425,3430,689.00,682.00,0.42,2009
CNKO,,,,878,223,656,11.00,154.00,0.34,2009
CTTH,,,,190,127,62,5.00,51.00,2.04,2009
MITI,,,,109,81,29,0.00,11.00,2.83,2009
SMCB,,,,7265,3949,3315,1398.00,433.00,1.19,2009
INTP,,,,13276,2572,10681,3693.00,2901.00,0.24,2009
SMGR,,,,12951,2633,10198,4343.00,1719.00,0.26,2009
ARNA,,,,823,474,343,126.00,187.00,1.38,2009
AMFG,,,,1972,443,1529,92.00,3524.00,0.29,2009
IKAI,,,,765,454,307,-4.20,470.00,1.48,2009
KIAS,,,,1321,1144,149,36.00,18.00,7.65,2009
MLIA,,,,3239,6759,-3520,37.00,-2661.00,-1.92,2009
TOTO,,,,1011,482,529,213.00,10673.00,0.91,2009
ALMI,,,,1482,1020,462,7.00,1500.00,2.21,2009
BTON,,,,70,5,65,17.00,359.00,0.08,2009
CTBN,,,,1871,854,1004,208.00,1256.00,0.85,2009
