No,Kode,Nama,Saham Beredar,Market Cap
1,BBCA,Bank Central Asia Tbk.,24408459120,320361025950000
2,HMSP,H.M. Sampoerna Tbk.,4383000000,300892950000000
3,ASII,Astra International Tbk.,40483553140,300590382064500
4,TLKM,Telekomunikasi Indonesia (Persero),100799996400,288791989686000
5,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,24422470380,284521779927000
6,BMRI,Bank Mandiri (Persero) Tbk.,23099999999,248902499989225
7,UNVR,Unilever Indonesia Tbk.,7630000000,246449000000000
8,PGAS,Perusahaan Gas Negara (Persero) Tbk.,24241508196,145449049176000
9,GGRM,Gudang Garam Tbk.,1924088000,116792141600000
10,BBNI,Bank Negara Indonesia (Persero) Tbk.,18462169893,112619236347300
11,SMGR,Semen Indonesia (Persero) Tbk.,5931520000,96090624000000
12,INTP,Indocement Tunggal Prakasa Tbk.,3681231699,92030792475000
13,KLBF,Kalbe Farma Tbk.,46875122110,85781473461300
14,ICBP,Indofood CBP Sukses Makmur Tbk.,5830954000,76385497400000
15,UNTR,United Tractors Tbk.,3730135136,64717844609600
16,CPIN,Charoen Pokphand Indonesia Tbk,16398000000,61984440000000
17,INDF,Indofood Sukses Makmur Tbk.,8780426500,59267878875000
18,SCMA,Surya Citra Media Tbk.,14621601234,51175604319000
19,JSMR,Jasa Marga (Persero) Tbk.,6800000000,47940000000000
20,TBIG,Tower Bersama Infrastructure Tbk.,4796526199,46526304130300
21,EMTK,Elang Mahkota Teknologi Tbk.,5640032442,43992253047600
22,LPPF,Matahari Department Store Tbk.,2917918080,43768771200000
23,BDMN,Bank Danamon Indonesia Tbk.,9488796931,42936806112775
24,TOWR,Sarana Menara Nusantara Tbk.,10202925000,42342138750000
25,EXCL,XL Axiata Tbk.,8534490667,41520297094955
26,AALI,Astra Agro Lestari Tbk.,1574745000,38187566250000
27,MNCN,Media Nusantara Citra Tbk.,14276088500,36261264790000
28,INCO,Vale Indonesia Tbk.,9936338720,36019227860000
29,ADRO,Adaro Energy Tbk.,31985962000,33265400480000
30,BSDE,Bumi Serpong Damai Tbk.,18371846392,33161182737560
31,PTBA,Tambang Batubara Bukit Asam (Persero),2304131850,28801648125000
32,PNBN,Bank Pan Indonesia Tbk,23837645998,27770857587670
33,MLBI,Multi Bintang Indonesia Tbk.,2107000000,25178650000000
34,PWON,Pakuwon Jati Tbk.,48159602400,24802195236000
35,BIRD,Blue Bird Tbk.,2502100000,23582292500000
36,LPKR,Lippo Karawaci Tbk.,23077689619,23539243411380
37,SMAR,Smart Tbk.,2872193366,23264766264600
38,BTPN,Bank Tabungan Pensiunan Nasional Tbk.,5781884384,22838443316800
39,SMMA,Sinarmas Multiartha Tbk.,6237808717,22799190860635
40,WIKA,Wijaya Karya (Persero) Tbk.,6149225000,22629148000000
41,BYAN,Bayan Resources Tbk.,3333333500,22166667775000
42,ISAT,Indosat Tbk.,5433933500,22007430675000
43,SMRA,Summarecon Agung Tbk.,14426781680,21928708153600
44,BNGA,Bank CIMB Niaga Tbk.,24880290775,20775042797125
45,AUTO,Astra Otoparts Tbk.,4819733000,20242878600000
