Kode,Nama,Saham Beredar,Market Cap
ASII,Astra International Tbk.,40483553140,275288161352000
HMSP,H.M. Sampoerna Tbk.,4383000000,273499200000000
BBCA,Bank Central Asia Tbk.,24408459120,234321207552000
TLKM,Telekomunikasi Indonesia (Persero),100799996400,216719992260000
UNVR,Unilever Indonesia Tbk.,7630000000,198380000000000
BMRI,Bank Mandiri (Persero) Tbk.,23099999999,181334999992150
BBRI,Bank Rakyat Indonesia (Persero) Tbk.,24422470380,177062910255000
PGAS,Perusahaan Gas Negara (Persero) Tbk.,24241508196,108480749177100
SMGR,Semen Indonesia (Persero) Tbk.,5931520000,83931008000000
GGRM,Gudang Garam Tbk.,1924088000,80811696000000
INTP,Indocement Tunggal Prakasa Tbk.,3681231699,73624633980000
BBNI,Bank Negara Indonesia (Persero) Tbk.,18462169893,72925571077350
UNTR,United Tractors Tbk.,3730135136,70872567584000
ICBP,Indofood CBP Sukses Makmur Tbk.,5830954000,59475730800000
KLBF,Kalbe Farma Tbk.,46875122110,58593902637500
INDF,Indofood Sukses Makmur Tbk.,8780426500,57950814900000
CPIN,Charoen Pokphand Indonesia Tbk,16398000000,55343250000000
EXCL,XL Axiata Tbk.,8534490667,44379351468400
AALI,Astra Agro Lestari Tbk.,1574745000,39526099500000
SCMA,Surya Citra Media Tbk.,14621601234,38381703239250
MNCN,Media Nusantara Citra Tbk.,14099463000,37011090375000
BDMN,Bank Danamon Indonesia Tbk.,9488796931,35820208414525
ADRO,Adaro Energy Tbk.,31985962000,34864698580000
ITMG,Indo Tambangraya Megah Tbk.,1129925000,32202862500000
JSMR,Jasa Marga (Persero) Tbk.,6800000000,32130000000000
LPPF,Matahari Department Store Tbk.,2917918080,32097098880000
EMTK,Elang Mahkota Teknologi Tbk.,5640032442,31302180053100
BYAN,Bayan Resources Tbk.,3333333500,28333334750000
TOWR,Sarana Menara Nusantara Tbk.,10202925000,28058043750000
TBIG,Tower Bersama Infrastructure Tbk.,4796526199,27819851954200
BMTR,Global Mediacom Tbk.,14052702050,26700133895000
INCO,Vale Indonesia Tbk.,9936338720,26331297608000
MLBI,Multi Bintang Indonesia Tbk.,21070000,25284000000000
BTPN,Bank Tabungan Pensiunan Nasional Tbk.,5781884384,24862102851200
PTBA,Tambang Batubara Bukit Asam (Persero),2304131850,23502144870000
MYOR,Mayora Indah Tbk.,894347989,23253047714000
BNGA,Bank CIMB Niaga Tbk.,24880290775,22889867513000
BSDE,Bumi Serpong Damai Tbk.,17496996592,22571125603680
ISAT,Indosat Tbk.,5433933500,22550824025000
SMAR,Smart Tbk.,2872193366,22546717923100
LPKR,Lippo Karawaci Tbk.,23077689619,21000697553290
SMMA,Sinarmas Multiartha Tbk.,6237808717,20584768766100
BNII,Bank Internasional Indonesia Tbk.,60362435090,18712354877900
AUTO,Astra Otoparts Tbk.,4819733000,17592025450000
SMCB,Holcim Indonesia Tbk.,7662900000,17433097500000
AMRT,Sumber Alfaria Trijaya Tbk.,37749547000,16987296150000
AKRA,AKR Corporindo Tbk.,3880727500,16978182812500
PNBN,Bank Pan Indonesia Tbk,23837645998,15732846358680
TRAM,Trada Maritime Tbk.,9731641746,15473310376140
TSPC,Tempo Scan Pacific Tbk.,4500000000,14625000000000
MEGA,Bank Mega Tbk.,6894138227,14132983365350
NISP,Bank OCBC NISP Tbk.,11357888016,13970202259680
IMAS,Indomobil Sukses Internasional Tbk.,2765278412,13549864218800
INVS,Inovisi Infracom Tbk.,9990267035,13386957826900
BNLI,Bank Permata Tbk.,10569366884,13317402273840
LSIP,PP London Sumatra Indonesia Tbk.,6822863965,13168127452450
SRTG,Saratoga Investama Sedaya Tbk.,2712967000,13022241600000
JPFA,Japfa Comfeed Indonesia Tbk.,10660522910,13005837950200
PWON,Pakuwon Jati Tbk.,48159602400,13003092648000
ULTJ,Ultra Jaya Milk Industry & Trading,2888382000,12997719000000
GEMS,Golden Energy Mines Tbk.,5882353000,12794117775000
SIMP,Salim Ivomas Pratama Tbk.,15816310000,12336721800000
BHIT,MNC Investama Tbk.,35900101807,12206034614380
CTRA,Ciputra Development Tbk.,15165815994,11374361995500
DNET,Indoritel Makmur Internasional Tbk.,14184000000,11347200000000
GIAA,Garuda Indonesia (Persero) Tbk.,22640996000,11320498000000
SMRA,Summarecon Agung Tbk.,14426781680,11252889710400
JRPT,Jaya Real Property Tbk.,13750000000,11000000000000
SILO,Siloam International Hospitals Tbk.,1156100000,10982950000000
SUGI,Sugih Energy Tbk.,24677348506,10981420085170
EPMT,Enseval Putera Megatrading Tbk.,2708640000,10834560000000
SIDO,Industri Jamu dan Farmasi Sido Muncul,15000000000,10500000000000
MPPA,Matahari Putra Prima Tbk.,5377962800,10433247832000
DSSA,Dian Swastatika Sentosa Tbk,770552320,10402456320000
ANTM,Aneka Tambang (Persero) Tbk.,9538459750,10396921127500
HERO,Hero Supermarket Tbk.,4183634000,10145312450000
ACES,Ace Hardware Indonesia Tbk.,17150000000,10118500000000
TPIA,Chandra Asri Petrochemical Tbk.,3286962558,9778713610050
WIKA,Wijaya Karya (Persero) Tbk.,6139968000,9701149440000
MAYA,Bank Mayapada Internasional Tbk.,3443535018,9469721299500
MAPI,Mitra Adiperkasa Tbk.,1660000000,9130000000000
BBTN,Bank Tabungan Negara (Persero) Tbk.,10458953500,9099289545000
MKPI,Metropolitan Kentjana Tbk.,948194000,9007843000000
JKON,Jaya Konstruksi Manggala Pratama Tbk.,16308519860,8969685923000
SCBD,Danayasa Arthatama Tbk.,3322092000,8969648400000
BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten,9599328254,8543402146060
ASRI,Alam Sutera Realty Tbk.,19649411888,8449247111840
DUTI,Duta Pertiwi Tbk,1850000000,8278750000000
ABMM,ABM Investama Tbk.,2753165000,8259495000000
ADMF,Adira Dinamika Multi Finance Tbk.,1000000000,8100000000000
TINS,Timah (Persero) Tbk.,5033020000,8052832000000
SSMS,Sawit Sumbermas Sarana Tbk.,9525000000,7810500000000
KRAS,Krakatau Steel (Persero) Tbk.,15775000000,7808625000000
INKP,Indah Kiat Pulp & Paper Tbk.,5470982941,7659376117400
RALS,Ramayana Lestari Sentosa Tbk.,7096000000,7521760000000
HRUM,Harum Energy Tbk.,2703620000,7434955000000
IIKP,Inti Agri Resources Tbk,3360000000,7392000000000
CMNP,Citra Marga Nusaphala Persada Tbk.,2200000000,7370000000000
MEDC,Medco Energi International Tbk,3332451450,6998148045000
PLIN,Plaza Indonesia Realty Tbk.,3550000000,6816000000000
APEX,Apexindo Pratama Duta Tbk.,2659850000,6782617500000
