No,Kode,Nama,Saham Beredar,Market Cap
1,AALI,Astra Agro Lestari Tbk.,1924688333,22759400000000
2,ABBA,Mahaka Media Tbk.,2755125000,264492000000
3,ABDA,Asuransi Bina Dana Arta Tbk.,620806680,4330130000000
4,ABMM,ABM Investama Tbk.,2753165000,6249680000000
5,ACES,Ace Hardware Indonesia Tbk.,17150000000,25553500000000
6,ACST,Acset Indonusa Tbk.,700000000,1088500000000
7,ADES,Akasha Wira International Tbk.,589896800,542705000000
8,ADHI,Adhi Karya (Persero) Tbk.,3560849376,5643950000000
9,ADMF,Adira Dinamika Multi Finance Tbk.,1000000000,9100000000000
10,ADMG,Polychem Indonesia Tbk,3889179559,1221200000000
11,ADRO,Adaro Energy Tbk.,31985962000,38862900000000
12,AGII,Aneka Gas Industri Tbk.,3066660000,2085330000000
13,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,21129857328,6550260000000
14,AGRS,Bank Agris Tbk.,5203614878,1238460000000
15,AHAP,Asuransi Harta Aman Pratama Tbk.,2940000000,249900000000
16,AIMS,Akbar Indo Makmur Stimec Tbk,220000000,39600000000
17,AISA,Tiga Pilar Sejahtera Food Tbk.,3218600000,540725000000
18,AKKU,Anugerah Kagum Karya Utama Tbk.,6449463636,322473000000
19,AKPI,Argha Karya Prima Industry Tbk.,680000000,510000000000
20,AKRA,AKR Corporindo Tbk.,4014694920,17223000000000
21,AKSI,Majapahit Inti Corpora Tbk.,720000000,283680000000
22,ALDO,Alkindo Naratama Tbk.,550000000,368500000000
23,ALKA,Alakasa Industrindo Tbk,507665055,152300000000
24,ALMI,Alumindo Light Metal Industry Tbk.,616000000,246400000000
25,ALTO,Tri Banyan Tirta Tbk.,2191870558,876748000000
26,AMAG,Asuransi Multi Artha Guna Tbk.,5001552516,1630510000000
27,AMFG,Asahimas Flat Glass Tbk.,434000000,1601460000000
28,AMIN,Ateliers Mecaniques D Indonesie Tbk.,1080000000,462240000000
29,AMRT,Sumber Alfaria Trijaya Tbk.,41524501700,38825400000000
30,ANDI,Andira Agro Tbk.,1870000000,3740000000000
31,ANJT,Austindo Nusantara Jaya Tbk.,3354175000,3857300000000
32,ANTM,Aneka Tambang Tbk.,24030764725,18383500000000
33,APEX,Apexindo Pratama Duta Tbk.,2659850000,4468550000000
34,APIC,Pacific Strategic Financial Tbk.,11765966447,6353620000000
35,APII,Arita Prima Indonesia Tbk.,1075760000,200091000000
36,APLI,Asiaplast Industries Tbk.,1362671400,114464000000
37,APLN,Agung Podomoro Land Tbk.,19364561700,2943410000000
38,APOL,Arpeni Pratama Ocean Line Tbk.,8670479000,502888000000
39,ARGO,Argo Pantes Tbk,335557450,276835000000
40,ARII,Atlas Resources Tbk.,3000000000,2700000000000
41,ARMY,Armidian Karyatama Tbk.,8187500000,2603630000000
42,ARNA,Arwana Citramulia Tbk.,7341430976,3083400000000
43,ARTA,Arthavest Tbk,446674175,585143000000
44,ARTI,Ratu Prabu Energi Tbk,7840000000,392000000000
45,ARTO,Bank Artos Indonesia Tbk.,1194187500,219731000000
46,ASBI,Asuransi Bintang Tbk.,348386472,87096618000
47,ASDM,Asuransi Dayin Mitra Tbk.,192000000,223680000000
48,ASGR,Astra Graphia Tbk.,1348780500,1793880000000
49,ASII,Astra International Tbk.,40483553140,332977000000000
50,ASJT,Asuransi Jasa Tania Tbk.,600000000,216000000000
51,ASMI,Asuransi Kresna Mitra Tbk.,8958380460,6270870000000
52,ASRI,Alam Sutera Realty Tbk.,19649411888,6130620000000
53,ASRM,Asuransi Ramayana Tbk.,214559422,504215000000
54,ASSA,Adi Sarana Armada Tbk.,3397500000,1236690000000
55,ATIC,Anabatic Technologies Tbk.,1875010000,1687510000000
56,ATPK,Bara Jaya Internasional Tbk.,5760245414,1117490000000
57,AUTO,Astra Otoparts Tbk.,4819733000,7085010000000
58,BABP,Bank MNC Internasional Tbk.,21567203082,1078360000000
59,BACA,Bank Capital Indonesia Tbk.,6999757684,2099930000000
60,BAJA,Saranacentral Bajatama Tbk.,1800000000,203400000000
61,BALI,Bali Towerindo Sentra Tbk.,3664476700,5716580000000
62,BAPA,Bekasi Asri Pemula Tbk.,661784520,72134512680
63,BATA,Sepatu Bata Tbk.,1300000000,780000000000
64,BAYU,Bayu Buana Tbk,353220780,683482000000
65,BBCA,Bank Central Asia Tbk.,24408459120,634620000000000
66,BBHI,Bank Harda Internasional Tbk.,4142587477,708382000000
67,BBKP,Bank Bukopin Tbk.,11535389661,3137630000000
68,BBLD,Buana Finance Tbk.,1645796054,776816000000
69,BBMD,Bank Mestika Dharma Tbk.,4049189100,5587880000000
70,BBNI,Bank Negara Indonesia (Persero) Tbk.,18462169893,162467000000000
71,BBNP,Bank Nusantara Parahyangan Tbk.,791895641,1742170000000
72,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,122112000000,446931000000000
73,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,5367076248,268354000000
74,BBTN,Bank Tabungan Negara (Persero) Tbk.,10484100000,26629600000000
75,BBYB,Bank Yudha Bhakti Tbk.,5148129999,1462070000000
76,BCAP,MNC Kapital Indonesia Tbk.,38531387216,5818240000000
77,BCIC,Bank JTrust Indonesia Tbk.,9912003256,4460400000000
78,BCIP,Bumi Citra Permai Tbk.,1429915525,127262000000
79,BDMN,Bank Danamon Indonesia Tbk.,9488796931,72114900000000
80,BEKS,Bank Pembangunan Daerah Banten Tbk.,63468336053,3173420000000
81,BELL,Trisula Textile Industries Tbk.,1450000000,348000000000
82,BEST,Bekasi Fajar Industrial Estate Tbk.,9647311150,2006640000000
83,BFIN,BFI Finance  Indonesia Tbk.,15967115620,10618100000000
84,BGTG,Bank Ganesha Tbk.,11063309400,907191000000
85,BHIT,MNC Investama Tbk.,51939135584,3012470000000
86,BIKA,Binakarya Jaya Abadi Tbk.,592280000,153993000000
87,BIMA,Primarindo Asia Infrastructure Tbk.,608175716,34057840096
88,BINA,Bank Ina Perdana Tbk.,5597831250,3750550000000
89,BIPI,Astrindo Nusantara Infrastruktur Tbk.,40158987014,2007950000000
90,BIPP,Bhuwanatala Indah Permai Tbk.,5028669338,442523000000
91,BIRD,Blue Bird Tbk.,2502100000,7181030000000
92,BISI,BISI International Tbk.,3000000000,5025000000000
93,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,9599328254,19678600000000
94,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,14828353632,10231600000000
95,BKDP,Bukit Darmo Property Tbk,6830992252,416691000000
96,BKSL,Sentul City Tbk.,55258659323,6023190000000
97,BKSW,Bank QNB Indonesia Tbk.,20232319124,3682280000000
98,BLTA,Berlian Laju Tanker Tbk,23483317538,4602730000000
99,BLTZ,Graha Layar Prima Tbk.,873937142,4107500000000
100,BMAS,Bank Maspion Indonesia Tbk.,4399026922,1618840000000
101,BMRI,Bank Mandiri (Persero) Tbk.,46199999998,340725000000000
102,BMSR,Bintang Mitra Semestaraya Tbk,1159200024,197064000000
103,BMTR,Global Mediacom Tbk.,14198621422,3436070000000
104,BNBA,Bank Bumi Arta Tbk.,2286900000,635758000000
105,BNBR,Bakrie & Brothers Tbk,20771977000,1038600000000
106,BNGA,Bank CIMB Niaga Tbk.,24880290775,22765500000000
107,BNII,Bank Maybank Indonesia Tbk.,75357433911,15523600000000
108,BNLI,Bank Permata Tbk.,27762311813,17351400000000
109,BOGA,Bintang Oto Global Tbk.,3803247640,2643260000000
110,BOLT,Garuda Metalindo Tbk.,2343750000,2273440000000
111,BORN,Borneo Lumbung Energi & Metal Tbk.,17693000000,884650000000
112,BOSS,Borneo Olah Sarana Sukses Tbk.,1400000000,3360000000000
113,BPFI,Batavia Prosperindo Finance Tbk.,1782663575,1158730000000
114,BPII,Batavia Prosperindo Internasional Tbk.,514010900,3341070000000
115,BPTR,Batavia Prosperindo Trans Tbk.,1550000000,133300000000
116,BRAM,Indo Kordsa Tbk.,450000000,2745000000000
117,BRIS,Bank BRIsyariah Tbk.,9618952363,5049950000000
118,BRMS,Bumi Resources Minerals Tbk.,62322456902,3116120000000
119,BRNA,Berlina Tbk.,979110000,1174930000000
120,BRPT,Barito Pacific Tbk.,17791586878,42521900000000
121,BSDE,Bumi Serpong Damai Tbk.,19246696192,24154600000000
122,BSIM,Bank Sinarmas Tbk.,15183894926,8351140000000
123,BSSR,Baramulti Suksessarana Tbk.,2616500000,6122610000000
124,BSWD,Bank Of India Indonesia Tbk.,1374912000,2406100000000
125,BTEK,Bumi Teknokultura Unggul Tbk,46277496376,6941620000000
126,BTEL,Bakrie Telecom Tbk.,36773904635,1838700000000
127,BTON,Betonjaya Manunggal Tbk.,720000000,165600000000
128,BTPN,Bank Tabungan Pensiunan Nasional Tbk.,5791563274,19923000000000
129,BTPS,Bank Tabungan Pensiunan Nasional Syariah Tbk.,7626663000,13689900000000
130,BUDI,Budi Starch & Sweetener Tbk.,4498997362,431904000000
131,BUKK,Bukaka Teknik Utama Tbk.,2640452000,5016860000000
132,BULL,Buana Lintas Lautan Tbk.,7298983130,853981000000
133,BUMI,Bumi Resources Tbk.,65475927488,6744020000000
134,BUVA,Bukit Uluwatu Villa Tbk.,6811269200,1403120000000
135,BVIC,Bank Victoria International Tbk.,8592141624,1632510000000
136,BWPT,Eagle High Plantations Tbk.,31525291000,5170150000000
137,BYAN,Bayan Resources Tbk.,3333333500,66250000000000
138,CAKK,Cahayaputra Asa Keramik Tbk.,1203300000,113110000000
139,CAMP,Campina Ice Cream Industry Tbk.,5885000000,2036210000000
140,CANI,Capitol Nusantara Indonesia Tbk.,833440000,220028000000
141,CARS,Industri dan Perdagangan Bintraco Dharma Tbk.,1500000000,4200000000000
142,CASA,Capital Financial Indonesia Tbk.,54476226188,16887600000000
143,CASS,Cardig Aero Services Tbk.,2086950000,1481730000000
144,CEKA,Wilmar Cahaya Indonesia Tbk.,595000000,818125000000
145,CENT,Centratama Telekomunikasi Indonesia Tbk.,31183464900,2681780000000
146,CFIN,Clipan Finance Indonesia Tbk.,3984520457,1251140000000
147,CINT,Chitose Internasional Tbk.,1000000000,284000000000
148,CITA,Cita Mineral Investindo Tbk.,3370734900,6202150000000
149,CITY,Natura City Developments Tbk.,5400000000,2149200000000
