No,Kode,Nama,Saham Beredar,Market Cap
1,HMSP,H.M. Sampoerna Tbk.,4652723076,437355969144000
2,BBCA,Bank Central Asia Tbk.,24408459120,324632506296000
3,TLKM,Telekomunikasi Indonesia (Persero),100799996400,312983988822000
4,UNVR,Unilever Indonesia Tbk.,7630000000,282310000000000
5,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,24422470380,279026724091500
6,ASII,Astra International Tbk.,40483553140,242901318840000
7,BMRI,Bank Mandiri (Persero) Tbk.,23099999999,213674999990750
8,GGRM,Gudang Garam Tbk.,1924088000,105824840000000
9,BBNI,Bank Negara Indonesia (Persero) Tbk.,18462169893,92126227766070
10,INTP,Indocement Tunggal Prakarsa Tbk.,3681231699,82183497680175
11,ICBP,Indofood CBP Sukses Makmur Tbk.,5830954000,78572105150000
12,SMGR,Semen Indonesia (Persero) Tbk.,5931520000,67619328000000
13,PGAS,Perusahaan Gas Negara (Persero) Tbk.,24241508196,66542939998020
14,UNTR,United Tractors Tbk.,3730135136,63225790555200
15,KLBF,Kalbe Farma Tbk.,46875122110,61875161185200
16,EMTK,Elang Mahkota Teknologi Tbk.,5640032442,58092334152600
17,LPPF,Matahari Department Store Tbk.,2917918080,51355358208000
18,TOWR,Sarana Menara Nusantara Tbk.,10202925000,48463893750000
19,INDF,Indofood Sukses Makmur Tbk.,8780426500,45438707137500
20,SCMA,Surya Citra Media Tbk.,14621601234,45326963825400
21,CPIN,Charoen Pokphand Indonesia Tbk,16398000000,42634800000000
22,JSMR,Jasa Marga (Persero) Tbk.,6800000000,35530000000000
23,MIKA,Mitra Keluarga Karyasehat Tbk.,14550736000,34921766400000
24,BSDE,Bumi Serpong Damai Tbk.,19246696192,34644053145600
25,SMMA,Sinarmas Multiartha Tbk.,6357664717,32106206820850
26,EXCL,XL Axiata Tbk.,8541381670,31176043095500
27,BDMN,Bank Danamon Indonesia Tbk.,9488796931,30364150179200
28,ISAT,Indosat Tbk.,5433933500,29886634250000
29,AKRA,AKR Corporindo Tbk.,3949030235,28334291936125
30,TBIG,Tower Bersama Infrastructure Tbk.,4796526199,28179591419125
31,MYOR,Mayora Indah Tbk.,894347989,27277613664500
32,MNCN,Media Nusantara Citra Tbk.,14276088500,26482144167500
33,BYAN,Bayan Resources Tbk.,3333333500,26250001312500
