No,Kode,Nama,Saham Beredar,Market Cap
1,AALI,Astra Agro Lestari Tbk.,1924688333,25309700000000
2,ABBA,Mahaka Media Tbk.,2755125000,137756000000
3,ABDA,Asuransi Bina Dana Arta Tbk.,620806680,4500850000000
4,ABMM,ABM Investama Tbk.,2753165000,6332280000000
5,ACES,Ace Hardware Indonesia Tbk.,17150000000,19808300000000
6,ACST,Acset Indonusa Tbk.,700000000,1722000000000
7,ADES,Akasha Wira International Tbk.,589896800,522059000000
8,ADHI,Adhi Karya (Persero) Tbk.,3560849376,6712200000000
9,ADMF,Adira Dinamika Multi Finance Tbk.,1000000000,7125000000000
10,ADMG,Polychem Indonesia Tbk,3889179559,956738000000
11,ADRO,Adaro Energy Tbk.,31985962000,59493900000000
12,AGII,Aneka Gas Industri Tbk.,3066660000,1855330000000
13,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,17733957209,9310330000000
14,AGRS,Bank Agris Tbk.,5203614878,1196830000000
15,AHAP,Asuransi Harta Aman Pratama Tbk.,840000000,163800000000
16,AIMS,Akbar Indo Makmur Stimec Tbk,220000000,54560000000
17,AISA,Tiga Pilar Sejahtera Food Tbk.,3218600000,1532050000000
18,AKKU,Anugerah Kagum Karya Utama Tbk.,6449463636,348271000000
19,AKPI,Argha Karya Prima Industry Tbk.,680000000,493000000000
20,AKRA,AKR Corporindo Tbk.,4006329420,25440200000000
21,AKSI,Majapahit Inti Corpora Tbk.,720000000,210240000000
22,ALDO,Alkindo Naratama Tbk.,550000000,330000000000
23,ALKA,Alakasa Industrindo Tbk,507665055,155346000000
24,ALMI,Alumindo Light Metal Industry Tbk.,616000000,135520000000
25,ALTO,Tri Banyan Tirta Tbk.,2191870558,850446000000
26,AMAG,Asuransi Multi Artha Guna Tbk.,5001552516,1900590000000
27,AMFG,Asahimas Flat Glass Tbk.,434000000,2614850000000
28,AMIN,Ateliers Mecaniques D Indonesie Tbk.,1080000000,432000000000
29,AMRT,Sumber Alfaria Trijaya Tbk.,41524501700,25329900000000
30,ANJT,Austindo Nusantara Jaya Tbk.,3354175000,4025010000000
31,ANTM,Aneka Tambang (Persero) Tbk.,24030764725,15019200000000
32,APEX,Apexindo Pratama Duta Tbk.,2659850000,4734530000000
33,APIC,Pacific Strategic Financial Tbk.,11765628515,5482780000000
34,APII,Arita Prima Indonesia Tbk.,1075760000,215152000000
35,APLI,Asiaplast Industries Tbk.,1500000000,108000000000
36,APLN,Agung Podomoro Land Tbk.,20500900000,4305190000000
37,APOL,Arpeni Pratama Ocean Line Tbk.,8670479000,502888000000
38,ARGO,Argo Pantes Tbk,335557450,276835000000
39,ARII,Atlas Resources Tbk.,3000000000,2940000000000
40,ARMY,Armidian Karyatama Tbk.,8187500000,2456250000000
41,ARNA,Arwana Citramulia Tbk.,7341430976,2510770000000
42,ARTA,Arthavest Tbk,446674175,172416000000
43,ARTI,Ratu Prabu Energi Tbk,7840000000,392000000000
