Kode,Saham Beredar
BISI,3000000000
AALI,1924688333
ANDI,9350000000
ANJT,3354175000
BWPT,31525291000
DSNG,10599842400
GOLL,3665000759
GZCO,6000000000
JAWA,3774685500
LSIP,6822863965
MAGP,9000000004
MGRO,3554445700
PALM,7119540356
PSGO,18850000000
SGRO,1890000000
SIMP,15816310000
SMAR,2872193366
SSMS,9525000000
UNSP,2500162344
BEEF,1884312565
DSFI,1857135500
ADRO,31985962000
ARII,3000000000
BORN,17693000000
BOSS,1400000000
BSSR,2616500000
BUMI,65476942288
BYAN,3333333500
DEWA,21853733792
DOID,8619817982
DSSA,770552320
FIRE,1475362946
GEMS,5882353000
GTBO,2500000000
HRUM,2703620000
INDY,5210192000
ITMG,1129925000
KKGI,5000000000
MBAP,1227271952
MYOH,2206312500
PTBA,11520659250
PTRO,1008605000
SMMT,3150000000
SMRU,12499385782
TOBA,8049964000
TRAM,49643625618
APEX,2659850000
ARTI,7840000000
BIPI,44693066193
ELSA,7298500000
ENRG,10342179272
ESSA,14300000000
MEDC,17916081914
MITI,1411550800
MTFN,31842082852
PKPK,600000000
RUIS,770000000
SURE,1497576771
WOWS,2475720000
ANTM,24030764725
BRMS,62322456902
CITA,3370734900
CKRA,5106021090
DKFT,5638246600
IFSH,2125000000
INCO,9936338720
MDKA,21897591650
PSAB,26460000000
TINS,7447753454
ZINC,25250000000
CTTH,1230839821
INTP,3681231699
SMBR,9932534336
SMCB,7662900000
SMGR,5931520000
WSBP,26361157534
WTON,8715466600
AMFG,434000000
ARNA,7341430976
CAKK,1203300006
KIAS,14929100000
MARK,3800000310
MLIA,1323000000
TOTO,10320000000
ALKA,507665055
ALMI,616000000
BAJA,1800000000
BTON,720000000
CTBN,800371500
GDST,9242500000
GGRP,12111376157
INAI,633600000
ISSP,7185992035
JKSW,150000000
KRAS,19346396900
LION,520160000
LMSH,96000000
NIKL,2523350000
PICO,568375000
PURE,1333333500
TBMS,367340000
ADMG,3889179559
AGII,3066660000
BRPT,89015991245
DPNS,331129952
EKAD,698775000
ETWA,968297000
INCI,196121237
MDKI,2530150002
MOLI,2334888498
SRSN,6020000000
TDPM,10485050500
TPIA,17833520260
UNIC,383331363
AKPI,680000000
APLI,1362671400
BRNA,979110000
ESIP,640000000
FPNI,5566414000
IGAR,972204500
IMPC,4833500000
IPOL,6443379509
PBID,1875000000
SMKL,3400000000
TALF,1353435000
TRST,2808000000
YPAS,668000089
CPIN,16398000000
CPRO,59572382787
JPFA,11726575201
MAIN,2238750000
SIPD,1339102579
IFII,9412000000
SINI,450000000
SULI,3986916802
TIRT,1011774750
ALDO,1100000000
FASW,2477888787
INKP,5470982941
INRU,1388883283
KBRI,8687995734
KDSI,405000000
SPMA,2114570958
SWAT,3019200000
TKIM,3113223570
INCF,1438370465
INOV,1808221900
KMTR,8215366379
AMIN,1080000000
ARKA,2000000000
GMFI,28233511500
KPAL,1069009400
KRAH,971190000
ASII,40483553140
AUTO,4819733000
BOLT,2343750000
BRAM,450000000
GDYR,410000000
GJTL,3484800000
IMAS,2765278412
INDS,656249710
LPIN,425000000
MASA,9182946945
NIPS,1635333332
PRAS,701043478
SMSM,5758675440
ARGO,335557450
BELL,1450000000
CNTB,130000000
CNTX,70000000
ERTX,1286539792
ESTI,2015208720
HDTX,3601462800
INDR,654351707
MYTX,7747281949
PBRX,6478295611
POLU,750000000
POLY,2495753334
RICY,641717510
SRIL,20452176844
SSTM,1170909181
STAR,4800000602
TFCO,4823076400
TRIS,3141443806
UCID,4156572300
UNIT,75422200
ZONE,870171478
BATA,1300000000
BIMA,608175716
CCSI,1000000000
IKBI,1224000000
JECC,151200000
KBLI,4007235107
KBLM,1120000000
SCCO,205583400
VOKS,4155602595
JSKY,2032540000
PTSN,5314344000
SLIS,2000000000
ADES,589896800
AISA,3218600000
ALTO,2191870558
BTEK,46277496376
BUDI,4498997362
CAMP,5885000000
CEKA,595000000
CLEO,12000000000
COCO,560242105
DLTA,800659050
FOOD,650000000
GOOD,7379580291
HOKI,2378405500
ICBP,11661908000
IIKP,33600000000
INDF,8780426500
KEJU,1500000000
MGNA,1003080977
MLBI,2107000000
MYOR,22358699725
PANI,410000000
PCAR,1166666700
PSDN,1440000000
ROTI,6186488888
SKBM,1726003217
SKLT,690740500
STTP,1310000000
TBLA,5342098939
ULTJ,11553528000
GGRM,1924088000
HMSP,1.16E+11
ITIC,940720000
RMBA,36401136250
WIIM,2099873760
DVLA,1120000000
INAF,3099267500
KAEF,5554000000
KLBF,46875122110
MERK,448000000
PEHA,840000000
PYFA,535080000
SCPI,3600000
SIDO,15000000000
TSPC,4500000000
KINO,1428571500
KPAS,768042782
MBTO,1070000000
MRAT,428000000
TCID,201066667
UNVR,7630000000
CINT,1000000000
KICI,276000000
LMPI,1008517669
WOOD,6306250000
HRTA,4605262400
APLN,19364561700
ARMY,9006250000
ASRI,19649411888
BAPA,661784520
BAPI,5591740000
BCIP,1429915525
BEST,9647311150
BIKA,592280000
BIPP,5028669338
BKDP,7513992252
BKSL,55258666481
BSDE,19246696192
CITY,5402681154
COWL,4871214021
CPRI,2433375005
CTRA,18560303397
DART,3141390962
DILD,10365854185
DMAS,48198111100
DUTI,1850000000
ELTY,43521913019
EMDE,3350000000
FMII,2721000000
FORZ,1984009887
GAMA,10011027656
GMTD,101538000
GPRA,4276655336
GWSA,7800760000
JRPT,13750000000
KIJA,20824888369
KOTA,10488809600
LAND,2792620000
LCGP,5630000914
LPCK,2679600000
LPKR,70898018369
MABA,15365229912
MDLN,12533067322
MKPI,948194000
MMLP,6889134608
MPRO,9942500000
MTLA,7655126330
MTSM,232848000
MYRX,86703220792
MYRXP,1120995000
NIRO,22198871804
NZIA,2197538000
OMRE,1745000000
PAMG,3125000000
PLIN,3550000000
POLI,2010526400
POLL,8318823600
POSA,8388870005
PPRO,61675671883
PWON,48159602400
RBMS,2656212826
RDTX,268800000
REAL,6632640000
RIMO,45080600000
RISE,9950000000
RODA,13592128209
SATU,1250000000
SCBD,3322092000
SMDM,4772138237
SMRA,14426781680
TARA,10069645750
URBN,3232122586
ACST,700000000
ADHI,3560849376
CSIS,1307000000
DGIK,5541165000
IDPR,2003000000
JKON,16308519860
MTRA,770000000
NRCA,2496258344
PBSA,1500000000
PTPP,6199897354
SKRN,1500000000
SSIA,4705249440
TOPS,33330000000
TOTL,3410000000
WEGE,9572000000
WIKA,8969951372
WSKT,13573951000
KEEN,3666312500
KOPI,697266668
LAPD,3966350139
MPOW,816997053
PGAS,24241508196
POWR,16087156000
RAJA,4227082500
TGRA,2750000000
CASS,2086950000
CMNP,3620831944
IPCC,1818384820
JSMR,7257871200
KARW,587152700
META,17710708194
TEBE,1285000000
BTEL,36822665755
EXCL,10687960423
FREN,2.18E+11
ISAT,5433933500
JAST,813626700
