Kode,Saham Beredar
IATA,4188754327
LMPI,1008517669
ALDO,550000000
EKAD,698775000
PANR,1200000000
INCF,56566667
COWL,755226980
KOIN,980843732
SMMT,80000000
MFMI,757581000
RUIS,770000000
PEGE,708354265
PTSP,220808000
PTSN,1771448000
MTSM,232848000
SIMM,1000000000
HOME,1213361388
SQMI,301200000
ATPK,831204669
ASRM,166879805
MITI,2566456000
PUDP,280000000
VRNA,1002000352
KBLM,1120000000
ASJT,300000000
SQBI,972000
POOL,100000000
RICY,641717510
MAMI,2307239903
ASIA,2275009490
APLI,1500000000
IKAI,791383786
GOLD,286000000
PICO,568375000
PKPK,600000000
TBMS,18367000
HADE,2120000000
TIRA,58800000
AHAP,500000000
KDSI,405000000
SQBB,9268000
SKLT,690740500
BAPA,650000020
ASDM,192000000
GEMA,320000000
PYFA,535080000
DSFI,1857135500
JECC,151200000
BAYU,353220780
SCPI,3600000
OCAP,273200000
CTTH,1230839821
INAI,158400000
KARW,587152700
LCGP,1407500000
BIPP,1638218259
MYRXP,1120995000
NIPS,20000000
PRAS,588000000
WICO,1268950977
BIMA,86000000
TMPO,725000000
TRIL,1200000000
WEHA,428270000
PDES,715000000
FORU,465224000
GMTD,101538000
TIRT,1011774750
SUGI,404537500
CENT,575112500
BTON,180000000
DNET,184000000
SIAP,600000000
PSKT,82000000
ALKA,101533011
AKSI,720000000
WAPO,520000000
RINA,810000000
GMCW,58839958
INTD,118365600
SDPC,728000000
LMSH,9600000
ASBI,174193236
LPIN,21250000
CMPP,54000000
LMAS,787851525
INCI,181035556
DEFI,67600000
INDX,312733363
ITTG,394000000
AKKU,230000000
R-LQ45X,50600000
SAFE,391799407
ZBRA,655666202
CNTB,6500000
UNTX,8068500
ERTX,146312474
RBMS,326722500
AIMS,110000000
CNTX,3500000
KICI,138000000
PGLI,488000000
UNIT,75422200
YULE,255000000
RIMO,340000000
ITMA,34000000
JKSW,150000000
KONI,76000000
PSAB,30000000
TKGA,52000000
SIMA,92500000
CPDW,34198115
PWSI,82500000
MAMIP,6000000
