Kode,Saham Beredar
AALI,1924688333
ABBA,2755125000
ABDA,620806680
ABMM,2753165000
ACES,17150000000
ACST,6425160000
ADES,589896800
ADHI,3560849376
ADMF,1000000000
ADMG,3889179559
ADRO,31985962000
AGAR,1000000000
AGII,3066660000
AGRO,21129857328
AGRS,11154923542
AHAP,2940000000
AIMS,220000000
AISA,7168452380
AKKU,6449463636
AKPI,680000000
AKRA,4014694920
AKSI,720000000
ALDO,1100000000
ALKA,507665055
ALMI,616000000
ALTO,2191870558
AMAG,5001552516
AMAN,3873500000
AMAR,7954749000
AMFG,434000000
AMIN,1080000000
AMOR,1111111200
AMRT,41524501700
ANDI,9350000000
ANJT,3354175000
ANTM,24030764725
APEX,2659850000
APIC,11766313488
APII,1075760000
APLI,1362671400
APLN,22699326779
ARGO,335557450
ARII,3000000000
ARKA,2000000000
ARMY,9006250000
ARNA,7341430976
ARTA,446674175
ARTI,7840000000
ARTO,10747687500
ASBI,348386472
ASDM,192000000
ASGR,1348780500
ASII,40483553140
ASJT,600000000
ASMI,8958380460
ASPI,681792600
ASRI,19649411888
ASRM,304283840
ASSA,3397500000
ATIC,2315361355
AUTO,4819733000
AYLS,853423205
BABP,25061670687
BACA,7000912507
BAJA,1800000000
BALI,3934592500
BAPA,661784520
BAPI,5591740000
BATA,1300000000
BAYU,353220780
BBCA,24408459900
BBHI,4142587477
BBKP,32510124471
BBLD,1645796054
BBMD,4049189100
BBNI,18462169893
BBRI,1.22E+11
BBRM,5367076248
BBSI,2605447053
BBSS,4800000000
BBTN,10484100000
BBYB,6595177287
BCAP,39760851927
BCIC,9912003256
BCIP,1429915525
BDMN,9675817341
BEEF,1884312585
BEKS,63468336053
BELL,7250000000
BESS,3401525202
BEST,9647311150
BFIN,15967115620
BGTG,11063309400
BHAT,5000000000
BHIT,67767400934
BIKA,592280000
BIMA,608175716
BINA,5597831250
BIPI,44693066193
BIPP,5028669366
BIRD,2502100000
BISI,3000000000
BJBR,9740399289
BJTM,14865343101
BKDP,7513992252
BKSL,67083561082
BKSW,20232319124
BLTA,25940187103
BLTZ,873937142
BLUE,418000000
BMAS,4399026922
BMRI,46199999998
BMSR,1159200024
BMTR,16583997586
BNBA,2286900000
BNBR,20863053480
BNGA,24880290775
BNII,75357433911
BNLI,27762311813
BOGA,3803526210
BOLA,6000000000
BOLT,2343750000
BOSS,1400000000
BPFI,1782663575
BPII,562224662
BPTR,1550000000
BRAM,450000000
BRIS,9770866563
BRMS,71007759834
BRNA,979110000
BRPT,93388035625
BSDE,21171365812
BSIM,17263895026
BSSR,2616500000
BSWD,1374912000
BTEK,46277496376
BTEL,36822665755
BTON,720000000
BTPN,8065879461
BTPS,7626663000
BUDI,4498997362
BUKK,2640452000
BULL,12461758964
BUMI,68228705555
BUVA,6811269200
BVIC,8862427568
BWPT,31525291000
BYAN,3333333500
CAKK,1203300219
CAMP,5885000000
CANI,833440000
CARE,33250000000
CARS,15000000000
CASA,54476253493
CASH,1430957002
CASS,2086950000
CBMF,1875000000
CCSI,1000000000
CEKA,595000000
CENT,31183464900
CFIN,3984520457
CINT,1000000000
CITA,3960361250
CITY,5402681845
CLAY,2570000000
CLEO,12000000000
CLPI,306338500
CMNP,3620831944
CMPP,10685124441
CNKO,8956361206
CNTB,130000000
CNTX,70000000
COCO,560247438
COWL,4871214021
CPIN,16398000000
CPRI,2433375005
CPRO,59572382787
CSAP,4458352920
CSIS,1307000000
CSMI,816061500
CSRA,2050000000
CTBN,800371500
CTRA,18560303397
CTTH,1230839821
DADA,7177000107
DART,3141390962
DAYA,2420547025
DEAL,1132748019
DEFI,687266666
DEWA,21853733792
DFAM,1899599640
DGIK,5541165000
DIGI,325000000
DILD,10365854185
DIVA,714285700
DKFT,5638246600
DLTA,800659050
DMAS,48198111100
DMMX,7692307700
DMND,9468359000
DNAR,11447006258
DNET,14184000000
DOID,8619817982
DPNS,331129952
DPUM,4175000000
DSFI,1857135500
DSNG,10599842400
DSSA,770552320
DUCK,1283330000
DUTI,1850000000
DVLA,1120000000
DWGL,8711599831
DYAN,4272964279
EAST,4126366095
ECII,1334333000
EKAD,698775000
ELSA,7298500000
ELTY,43521913019
EMDE,3350000000
EMTK,5642275242
ENRG,10342179272
ENVY,1800000000
ENZO,2162543000
EPAC,3303400000
EPMT,2708640000
ERAA,3190000000
ERTX,1286539792
ESIP,640000005
ESSA,14300000000
ESTA,630000000
ESTI,2015208720
ETWA,968297000
EXCL,10706012530
FAST,3990277158
FASW,2477888787
FILM,9511217000
FINN,1860225000
FIRE,1475363179
FISH,480000000
FITT,600000005
FMII,2721000000
FOOD,650000000
FORU,465224000
FORZ,1984009887
FPNI,5566414000
FREN,2.52E+11
FUJI,1105000000
GAMA,10011027656
GDST,9242500000
GDYR,410000000
GEMA,1600000000
GEMS,5882353000
GGRM,1924088000
GGRP,12111376157
GHON,550000000
GIAA,25886576254
GJTL,3484800000
GLOB,1111112000
GLVA,1500000000
GMFI,28233511500
GMTD,101538000
GOLD,1277276000
GOLL,3665000759
GOOD,7379580291
GPRA,4276655336
GREN,4694111791
GSMF,7454723337
GTBO,2500000000
GWSA,7800760000
GZCO,6000000000
HADE,2120000000
HDFA,6096972783
HDIT,1524680000
HDTX,3601462800
HEAL,2973000000
HELI,819000005
HERO,4183634000
HEXA,840000000
HITS,7101084801
HKMU,3221750000
HMSP,1.16E+11
HOKI,2387806680
HOME,22212194782
HOMI,787500000
HOTL,3550001452
HRME,5958750000
HRTA,4605262400
HRUM,2703620000
IATA,10697665114
IBFN,1517321249
IBST,1350904927
ICBP,11661908000
ICON,1089750000
IDPR,2003000000
IFII,9412000000
IFSH,2125000000
IGAR,972204500
IIKP,33600000000
IKAI,13305799387
IKAN,833333000
IKBI,1224000000
IMAS,3994291039
IMJS,8654325000
IMPC,4833500000
INAF,3099267500
INAI,633600000
INCF,1438370465
INCI,196121237
INCO,9936338720
INDF,8780426500
INDO,4309161700
INDR,654351707
INDS,656249710
INDX,437913588
INDY,5210192000
INKP,5470982941
INOV,1808221900
INPC,15638233267
INPP,11181971732
INPS,650000000
INRU,1388883283
INTA,3343935022
INTD,591828000
INTP,3681231699
IPCC,1818384820
IPCM,5284811100
IPOL,6443379509
IPTV,38306269139
IRRA,1600000000
ISAT,5433933500
ISSP,7185992035
ITIC,940720000
ITMA,870701000
ITMG,1129925000
JAST,813626700
JAWA,3774685500
JAYA,375000105
JECC,151200000
JGLE,22581909405
JIHD,2329040482
JKON,16308519860
JKSW,150000000
JMAS,1000000000
JPFA,11726575201
JRPT,13750000000
JSKY,2032540000
JSMR,7257871200
JSPT,2318736000
JTPE,1713012500
KAEF,5554000000
KARW,587152700
KAYU,665000000
KBAG,7150000000
KBLI,4007235107
KBLM,1120000000
KBLV,1742167907
KBRI,8687995734
KDSI,405000000
KEEN,3666312500
KEJU,1500000000
KIAS,14929100000
KICI,276000000
KIJA,20824888369
KINO,1428571500
KIOS,717239900
KJEN,500000000
KKGI,5000000000
KLBF,46875122110
KMDS,800000000
KMTR,8215366379
KOBX,2272500000
KOIN,980843732
KONI,240619000
KOPI,697266668
KOTA,10546043868
KPAL,1069009400
KPAS,768042882
KPIG,80625726664
KRAH,971190000
KRAS,19346396900
KREN,18208470100
LAND,2792620000
LAPD,3966350139
LCGP,5630000914
LCKM,1000000000
LEAD,4049616328
LIFE,2100000000
LINK,2863195484
LION,520160000
LMAS,787851525
LMPI,1008517669
LMSH,96000000
LPCK,2679600000
LPGI,150000000
LPIN,425000000
LPKR,70898018369
LPLI,1170432803
LPPF,2626148780
LPPS,2588250000
LRNA,350000022
LSIP,6822863965
LTLS,1560000000
LUCK,715749640
MABA,15365229912
MAGP,9000000004
MAIN,2238750000
MAMI,12299116371
MAMIP,6000000
MAPA,2850400000
MAPB,2170922900
MAPI,16600000000
MARI,5252644000
MARK,3800000310
MASA,9182946945
MAYA,6764086593
MBAP,1227271952
MBSS,1750026639
MBTO,1070000000
MCAS,867933300
MCOR,37540533209
MDIA,39215538400
MDKA,21897591650
MDKI,2530150002
MDLN,12533067322
MDRN,7632167798
MEDC,25062418016
MEGA,6894138227
MERK,448000000
META,17710708194
MFIN,2650000000
MFMI,757581000
MGNA,1003080977
MGRO,3554445700
MICE,600000000
MIDI,2882353000
MIKA,14246349500
MINA,6562500000
MIRA,3961452039
MITI,1411550800
MKNT,5000000000
MKPI,948194000
MLBI,2107000000
MLIA,1323000000
MLPL,14639632470
MLPT,1875000000
MMLP,6889134608
MNCN,15049787710
MOLI,2334888498
MPMX,4462963276
MPOW,816997053
MPPA,7529147920
MPRO,9942500000
MRAT,428000000
MREI,517791681
MSIN,5202000000
MSKY,1994370480
MTDL,2455376917
MTFN,31842082852
MTLA,7655126330
MTPS,2084850829
MTRA,770000000
MTSM,232848000
MTWI,1525819116
MYOH,2206312500
MYOR,22358699725
MYRX,86703220792
MYRXP,1120995000
MYTX,7747281949
NASA,11004929322
NATO,8001091504
NELY,2350000000
NFCX,666667500
NICK,651150000
NIKL,2523350000
NIPS,1635333332
NIRO,22198871804
NISP,22715776032
NOBU,4393533177
NRCA,2496258344
NUSA,7700000148
NZIA,2197540705
OASA,358600000
OCAP,273200000
OKAS,1765927777
OMRE,1745000000
OPMS,1000000000
PADI,11307246524
PALM,7119540356
PAMG,3125000000
PANI,410000000
PANR,1200000000
PANS,720000000
PBID,1875000000
PBRX,6478295611
PBSA,1500000000
PCAR,1166666700
PDES,715000000
PEGE,2833417056
PEHA,840000000
PGAS,24241508196
PGJO,306250000
PGLI,488000000
PGUN,4998360000
PICO,568375000
PJAA,1599999996
PKPK,600000000
PLAN,892856800
PLAS,1184200000
PLIN,3550000000
PMJS,13755600000
PNBN,23837645998
PNBS,23719447472
PNGO,781250000
PNIN,4068323920
PNLF,32022073293
PNSE,797813496
POLA,2727886300
POLI,2010526400
POLL,8318823600
POLU,750000000
POLY,2495753334
POOL,2341366264
PORT,2813941985
POSA,8388870106
POWR,16087156000
PPGL,750000000
PPRE,10224271000
PPRO,61675671883
PRAS,701043478
PRDA,937500000
PRIM,3393432705
PSAB,26460000000
PSDN,1440000000
PSGO,18850000000
PSKT,10351231636
PSSI,5417063153
PTBA,11520659250
PTIS,550165300
PTPP,6199897354
PTPW,878187500
PTRO,1008605000
PTSN,5314344000
PTSP,220808000
PUDP,329560000
PURA,5582646065
PURE,1333333500
PURI,1000000000
PWON,48159602400
PYFA,535080000
PZZA,3021875000
RAJA,4227082500
RALS,7096000000
RANC,1564487500
RBMS,2656212826
RDTX,268800000
REAL,6633609525
RELI,1800000000
RICY,641717510
RIGS,609130000
RIMO,45080600000
RISE,9950000000
RMBA,36401136250
ROCK,1435185100
RODA,13592128209
RONY,1250000000
ROTI,6186488888
RUIS,770000000
SAFE,615145012
SAME,5900000000
SAMF,5125000000
SAPX,833333300
SATU,1250000000
SBAT,2125000000
SCCO,205583400
SCMA,14774672301
SCNP,2500000000
SCPI,3600000
SDMU,1135225000
SDPC,1274000000
SDRA,6515116991
SFAN,1359934021
SGER,1664000000
SGRO,1890000000
SHID,1119326168
SHIP,2719790000
SIDO,30000000000
SILO,1625765625
SIMA,442589871
SIMP,15816310000
SINI,462212650
SIPD,1339102579
SKBM,1726003217
SKLT,690740500
SKRN,1500000000
SKYB,585000000
SLIS,2000000000
SMAR,2872193366
SMBR,9932534336
SMCB,7662900000
SMDM,4772138237
SMDR,3275120000
SMGR,5931520000
SMKL,3400000005
SMMA,6367664717
SMMT,3150000000
SMRA,14426781680
SMRU,12499385782
SMSM,5758675440
SOCI,7059000000
SOFA,1650000000
SOHO,1269168239
SONA,331200000
SOSS,656980005
SOTS,1000000005
SPMA,2114570958
SPTO,2700000000
SQMI,15537591429
SRAJ,12000705445
SRIL,20452176844
SRSN,6020000000
SRTG,2712967000
SSIA,4705249440
SSMS,9525000000
SSTM,1170909181
STAR,4800000602
STTP,1310000000
SUGI,24811541414
SULI,3986916802
SUPR,1137579698
SURE,1497576771
SWAT,3019200000
TALF,1353435000
TAMA,1000000005
TAMU,37500000000
TARA,10069645750
TAXI,6145600000
TBIG,22656999445
TBLA,5342098939
TBMS,367340000
TCID,201066667
TCPI,5000000000
TDPM,10485050500
TEBE,1285000000
TECH,1256300000
TELE,7302194889
TFAS,1666666500
TFCO,4823076400
TGKA,918492750
TGRA,2750000000
TIFA,1079700000
TINS,7447753454
TIRA,588000000
TIRT,1011774750
TKIM,3113223570
TLKM,99062216600
TMAS,5705150000
TMPO,1058333250
TNCA,421640000
TOBA,8049964000
TOPS,33330000000
TOTL,3410000000
TOTO,10320000000
TOWR,51014625000
TOYS,1435000000
TPIA,17833520260
TPMA,2633300000
TRAM,49643625720
TRIL,1200000000
TRIM,7109300000
TRIN,4373363405
TRIO,26007494645
TRIS,3141443806
TRJA,1510200000
TRST,2808000000
TRUK,435000000
TRUS,800000000
TSPC,4500000000
TUGU,1777777800
TURI,5580000000
UANG,1210000000
UCID,4156572300
ULTJ,11553528000
UNIC,383331363
UNIT,75422200
UNSP,2500162344
UNTR,3730135136
UNVR,38150000000
URBN,3232122588
VICO,9150094680
VINS,1460573616
VIVA,16464270400
VOKS,4155602595
VRNA,5687353997
WAPO,1240923111
WEGE,9572000000
WEHA,886411265
WICO,1268950977
WIIM,2099873760
WIKA,8969951372
WINS,4243011640
WOMF,3481481480
WOOD,6306250000
WOWS,2475720000
WSBP,26361157534
WSKT,13573951000
WTON,8715466600
YELO,380043597
YPAS,668000089
YULE,1785000000
ZBRA,856133009
ZINC,25250000000
ZONE,870171478
